City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Avera,US,2019-11-11 00:24:13,33.19,-82.53,51.8,71,1,4.07,clear sky
108,Cambridge,CA,2019-11-11 00:22:31,43.39,-80.31,39.99,96,90,4.7,light rain
109,Satipo,PE,2019-11-11 00:24:40,-11.26,-74.64,63.84,90,96,4.07,light rain
110,Gigmoto,PH,2019-11-11 00:24:40,13.78,124.39,81.37,81,100,11.79,light rain
111,Mahebourg,MU,2019-11-11 00:23:50,-20.41,57.7,71.01,94,40,5.82,scattered clouds
112,Souillac,FR,2019-11-11 00:19:41,45.6,-0.6,41.0,93,30,5.82,scattered clouds
113,Provideniya,RU,2019-11-11 00:19:48,64.42,-173.23,37.4,98,90,20.13,overcast clouds
114,Hithadhoo,MV,2019-11-11 00:24:41,-0.6,73.08,82.67,71,90,7.85,overcast clouds
115,Saint-Georges,CA,2019-11-11 00:19:27,46.12,-70.67,36.0,59,100,5.01,light snow
116,Tautira,PF,2019-11-11 00:20:14,-17.73,-149.15,80.6,74,75,8.05,shower rain
117,Constitucion,MX,2019-11-11 00:24:41,23.99,-104.67,77.0,23,75,8.05,broken clouds
118,Katsuura,JP,2019-11-11 00:24:42,33.93,134.5,66.0,76,40,6.93,scattered clouds
119,Caceres,CO,2019-11-11 00:24:42,5.53,-74.53,69.85,96,63,2.75,moderate rain
120,Mercedes,UY,2019-11-11 00:24:42,-33.25,-58.03,72.0,68,0,5.01,clear sky
121,Carlos%20Chagas,BR,2019-11-11 00:24:42,-17.7,-40.76,71.83,79,64,5.39,broken clouds
122,Ostrovnoy,RU,2019-11-11 00:19:14,68.05,39.51,23.79,89,100,11.97,light snow
123,Develi,TR,2019-11-11 00:24:43,38.39,35.49,37.4,74,19,1.01,few clouds
124,Longyearbyen,NO,2019-11-11 00:12:54,78.22,15.63,14.0,72,40,11.41,scattered clouds
125,Bontang,ID,2019-11-11 00:24:43,0.12,117.47,80.31,82,4,3.6,light rain
126,Abu%20Dhabi,AE,2019-11-11 00:24:43,24.47,54.37,71.6,68,0,6.93,clear sky
127,Tsiroanomandidy,MG,2019-11-11 00:24:43,-18.77,46.05,75.97,62,50,2.8,scattered clouds
128,Amahai,ID,2019-11-11 00:24:44,-3.31,129.0,81.0,76,99,2.91,overcast clouds
129,Ribeira%20Grande,PT,2019-11-11 00:23:28,38.52,-28.7,61.92,85,39,3.06,scattered clouds
130,Bambanglipuro,ID,2019-11-11 00:24:44,-7.95,110.28,79.29,76,100,8.81,overcast clouds
131,Adrar,DZ,2019-11-11 00:19:46,27.87,-0.29,57.2,26,0,4.7,clear sky
132,Port%20Augusta,AU,2019-11-11 00:24:44,-32.49,137.76,86.0,12,0,24.16,clear sky
133,Comodoro%20Rivadavia,AR,2019-11-11 00:24:26,-45.87,-67.48,55.4,82,40,9.17,light intensity shower rain
134,Susehri,TR,2019-11-11 00:24:45,40.16,38.09,41.68,52,0,2.51,clear sky
135,Ilulissat,GL,2019-11-11 00:20:11,69.22,-51.1,42.8,28,100,25.28,overcast clouds
136,Caravelas,BR,2019-11-11 00:19:24,-17.73,-39.27,72.59,92,79,8.01,broken clouds
137,Seoul,KR,2019-11-11 00:22:31,37.57,126.98,53.6,93,20,1.12,light rain
138,Lavrentiya,RU,2019-11-11 00:18:59,65.58,-170.99,34.63,89,100,12.64,light rain
139,Phayao,TH,2019-11-11 00:21:52,19.17,99.9,66.83,95,8,1.14,clear sky
140,Cidreira,BR,2019-11-11 00:22:26,-30.17,-50.22,69.67,85,98,16.64,light rain
141,Saldanha,PT,2019-11-11 00:23:55,41.42,-6.55,43.14,91,95,3.22,overcast clouds
142,Inhambane,MZ,2019-11-11 00:17:04,-23.87,35.38,75.36,77,61,12.46,broken clouds
143,Lermontovka,RU,2019-11-11 00:24:47,47.15,134.34,36.36,91,100,6.38,overcast clouds
144,Arkhangelskoye,RU,2019-11-11 00:24:47,54.46,37.62,42.48,94,100,13.71,overcast clouds
145,Lima,PE,2019-11-11 00:22:46,-12.06,-77.04,66.2,82,18,10.29,few clouds
146,Albany,US,2019-11-11 00:23:46,42.65,-73.75,44.6,52,90,4.7,overcast clouds
147,Arraial%20Do%20Cabo,BR,2019-11-11 00:21:07,-22.97,-42.02,77.0,88,75,5.82,broken clouds
148,Castro,CL,2019-11-11 00:24:48,-42.48,-73.76,55.4,82,99,5.82,overcast clouds
149,Flin%20Flon,CA,2019-11-11 00:24:48,54.77,-101.88,5.0,71,75,8.05,light snow
150,Lazaro%20Cardenas,MX,2019-11-11 00:20:50,28.39,-105.62,75.2,50,40,6.93,scattered clouds
151,Kodiak,US,2019-11-11 00:24:48,39.95,-94.76,48.99,61,1,16.11,clear sky
152,Thinadhoo,MV,2019-11-11 00:20:46,0.53,72.93,82.29,72,100,6.06,light rain
153,Sao%20Mateus%20Do%20Sul,BR,2019-11-11 00:24:48,-25.87,-50.38,64.54,98,91,4.05,light rain
154,Iralaya,HN,2019-11-11 00:17:25,15.0,-83.23,84.2,79,75,6.93,haze
155,Yerbogachen,RU,2019-11-11 00:19:55,61.28,108.01,-17.67,96,95,6.51,overcast clouds
156,Cap%20Malheureux,MU,2019-11-11 00:21:24,-19.98,57.61,71.01,94,40,5.82,scattered clouds
157,Sola,TZ,2019-11-11 00:20:44,-3.17,33.8,70.5,71,89,3.98,overcast clouds
158,Narsaq,GL,2019-11-11 00:23:49,60.91,-46.05,33.8,80,100,32.21,light snow
159,Gardabani,GE,2019-11-11 00:24:50,41.46,45.09,42.8,75,0,2.24,clear sky
160,Half%20Moon%20Bay,US,2019-11-11 00:23:36,37.46,-122.43,75.2,63,1,5.82,clear sky
161,Antofagasta,CL,2019-11-11 00:24:51,-23.65,-70.4,60.8,77,75,2.24,broken clouds
162,Awbari,LY,2019-11-11 00:15:28,26.59,12.77,72.81,36,100,6.62,overcast clouds
163,Alyangula,AU,2019-11-11 00:24:00,-13.85,136.42,86.0,48,76,3.36,broken clouds
164,Airai,TL,2019-11-11 00:19:40,-8.93,125.41,84.38,22,10,5.95,clear sky
165,Progreso,UY,2019-11-11 00:21:47,-34.68,-56.22,64.99,82,20,16.11,few clouds
166,Minden,US,2019-11-11 00:24:52,40.5,-98.95,37.4,74,90,24.16,overcast clouds
167,Iracoubo,GF,2019-11-11 00:16:40,5.48,-53.21,81.73,84,61,15.37,broken clouds
168,Khasan,RU,2019-11-11 00:15:32,42.43,130.64,43.75,67,100,5.5,overcast clouds
169,Sitka,US,2019-11-11 00:20:27,37.17,-99.65,55.0,46,100,9.37,overcast clouds
170,Klaksvik,FO,2019-11-11 00:24:52,62.23,-6.59,37.4,74,100,26.4,light snow
171,Haines%20Junction,CA,2019-11-11 00:17:59,60.75,-137.51,2.62,58,0,0.92,clear sky
172,Ukiah,US,2019-11-11 00:24:53,39.15,-123.21,81.0,25,1,3.36,clear sky
173,Saint-Leu,RE,2019-11-11 00:24:53,-21.15,55.28,70.0,56,83,6.93,broken clouds
174,Villa%20Corzo,MX,2019-11-11 00:24:53,16.19,-93.27,77.0,69,40,13.87,scattered clouds
175,Kamaishi,JP,2019-11-11 00:15:02,39.28,141.86,41.0,80,75,2.24,broken clouds
176,Ankang,CN,2019-11-11 00:24:53,32.73,108.99,50.45,69,16,1.72,few clouds
177,Basco,US,2019-11-11 00:12:58,40.33,-91.2,46.4,80,1,9.17,clear sky
178,Kisujszallas,HU,2019-11-11 00:24:54,47.22,20.77,44.01,100,75,6.93,broken clouds
179,Banepa,NP,2019-11-11 00:20:09,27.63,85.52,53.6,100,20,3.36,mist
180,Maldonado,UY,2019-11-11 00:22:26,-34.91,-54.96,62.26,80,16,18.63,few clouds
181,Puerto%20Del%20Rosario,ES,2019-11-11 00:24:54,28.5,-13.86,68.0,68,75,25.28,broken clouds
182,Taber,CA,2019-11-11 00:24:54,49.79,-112.14,5.0,84,75,3.36,broken clouds
183,Sainte-Suzanne,CH,2019-11-11 00:24:55,47.51,6.77,37.0,100,90,4.7,fog
184,Angoche,MZ,2019-11-11 00:24:55,-16.23,39.91,77.13,88,42,1.16,scattered clouds
185,Mitu,IR,2019-11-11 00:24:55,36.2,46.09,36.16,31,0,4.47,clear sky
186,Nanfeng,CN,2019-11-11 00:24:55,27.22,116.52,58.28,55,4,0.98,clear sky
