City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
163,Alyangula,AU,86.0,-13.85,136.42,broken clouds,Groote Eylandt Lodge
164,Airai,TL,84.38,-8.93,125.41,clear sky,The St. Bakhita Centre Eraulo
167,Iracoubo,GF,81.73,5.48,-53.21,broken clouds,
172,Ukiah,US,81.0,39.15,-123.21,clear sky,Hampton Inn Ukiah
173,Saint-Leu,RE,70.0,-21.15,55.28,broken clouds,Boucan Canot
174,Villa%20Corzo,MX,77.0,16.19,-93.27,scattered clouds,Airguns Villaflores Rifles Gamo
184,Angoche,MZ,77.13,-16.23,39.91,scattered clouds,Guest House HESADA
187,Butaritari,KI,83.91,3.07,172.79,overcast clouds,Isles Sunset Lodge
195,Dingle,PH,78.91,11.0,122.67,broken clouds,Garden Pavillion
197,Georgetown,GY,82.4,6.8,-58.16,broken clouds,Ramada Georgetown Princess Hotel
203,Neiafu,TO,80.6,-18.65,-173.98,broken clouds,Mystic Sands
204,Mandaguacu,BR,75.0,-23.35,-52.1,broken clouds,Hotel Internacional
205,Port%20Macquarie,AU,75.99,-31.43,152.91,overcast clouds,Rydges Port Macquarie
206,San%20Patricio,PY,74.05,-26.98,-56.83,few clouds,Hotel Avenida
208,San%20Vicente,EC,73.4,-0.59,-80.41,overcast clouds,La Piedra Hotel
209,Axim,GH,75.76,4.87,-2.24,moderate rain,AXIM BEACH RESORT AND SPA
223,Nabire,ID,85.73,-3.36,135.5,overcast clouds,Hotel Nusantara Nabire
225,Grand%20Gaube,MU,71.01,-20.01,57.66,scattered clouds,Trou aux Biches Beachcomber Golf Resort & Spa
229,Touros,BR,77.0,-5.2,-35.46,scattered clouds,Siri Paraíso Hotel
230,Hervey%20Bay,AU,88.0,-25.3,152.85,clear sky,Shelly Bay Resort
233,Buala,SB,81.79,-8.15,159.59,moderate rain,Maringe Lagoon Lodge
234,Bathsheba,BB,82.4,13.22,-59.52,few clouds,Hilton Barbados Resort
237,Illela,NG,79.65,12.25,4.3,overcast clouds,Jega Guest Inn
239,Marsh%20Harbour,BS,75.7,26.54,-77.06,few clouds,Abaco Beach Resort
245,Mitsamiouli,KM,79.25,-11.38,43.28,overcast clouds,Foyer ADM
246,Carmen,PH,82.4,7.36,125.71,broken clouds,Big 8 Corporate Hotel
247,Mabaruma,GY,75.11,8.2,-59.78,broken clouds,
251,Tomatlan,MX,77.0,19.93,-105.25,light rain,Rincón de la Ceiba
252,La%20Brea,TT,80.6,10.24,-61.62,few clouds,The Linx Suites Hotel
253,Kikwit,CD,71.06,-5.04,18.82,light rain,Centre D'Accueil Protestant
